scrapedURL	urlInPage
https://www.npmjs.com/	https://github.blog/2020-04-15-npm-has-joined-github/
https://www.npmjs.com/	https://www.npmjs.com/products
https://www.npmjs.com/	https://www.npmjs.com/products/pro
https://www.npmjs.com/	https://www.npmjs.com/products/teams
https://www.npmjs.com/	https://www.npmjs.com/products/enterprise
https://www.npmjs.com/	https://www.npmjs.com/products
https://www.npmjs.com/	https://docs.npmjs.com/
https://www.npmjs.com/	https://npm.community/
https://www.npmjs.com/	https://www.npmjs.com/
https://www.npmjs.com/	https://www.npmjs.com/signup
https://www.npmjs.com/	https://www.npmjs.com/login
https://www.npmjs.com/	https://www.npmjs.com/signup
https://www.npmjs.com/	https://www.npmjs.com/products/pro
https://www.npmjs.com/	https://www.npmjs.com/products
https://www.npmjs.com/	https://www.npmjs.com/products
https://www.npmjs.com/	https://www.npmjs.com/products/enterprise
https://www.npmjs.com/	https://go.npmjs.com/npm-pkgsafe
https://www.npmjs.com/	https://docs.npmjs.com/
https://www.npmjs.com/	https://npm.community/
https://www.npmjs.com/	https://www.npmjs.com/resources/
https://www.npmjs.com/	https://www.npmjs.com/advisories
https://www.npmjs.com/	http://status.npmjs.org/
https://www.npmjs.com/	https://www.npmjs.com/support
https://www.npmjs.com/	https://www.npmjs.com/about
https://www.npmjs.com/	https://blog.npmjs.org/
https://www.npmjs.com/	https://www.npmjs.com/jobs
https://www.npmjs.com/	https://www.npmjs.com/events
https://www.npmjs.com/	https://www.npmjs.com/press
https://www.npmjs.com/	https://www.npmjs.com/npm-weekly
https://www.npmjs.com/	https://www.npmjs.com/policies/
https://www.npmjs.com/	https://www.npmjs.com/policies/terms
https://www.npmjs.com/	https://www.npmjs.com/policies/conduct
https://www.npmjs.com/	https://www.npmjs.com/policies/privacy
https://www.npmjs.com/products	https://github.blog/2020-04-15-npm-has-joined-github/
https://www.npmjs.com/products	https://www.npmjs.com/products
https://www.npmjs.com/products	https://www.npmjs.com/products/pro
https://www.npmjs.com/products	https://www.npmjs.com/products/teams
https://www.npmjs.com/products	https://www.npmjs.com/products/enterprise
https://www.npmjs.com/products	https://www.npmjs.com/products
